toxicity,similarity
1.0,0.9847352504730225,1
0.63,0.9970244765281677,1
0.17666666666666667,0.9700096249580383,1
0.13,0.9895604252815247,1
0.77,0.9971782565116882,1
0.17,0.9962023496627808,1
0.19,0.9988839626312256,1
0.2633333333333333,0.9891775846481323,1
0.09,0.9973151087760925,1
0.6866666666666666,0.996661901473999,1
0.68,0.990249752998352,1
0.27666666666666667,0.9789576530456543,1
0.14,0.9958992004394531,1
0.11666666666666667,0.9779847264289856,1
0.2,0.9700510501861572,1
0.24333333333333335,0.9841480255126953,1
0.24,0.9914659261703491,1
0.19666666666666666,0.9747818112373352,1
0.3466666666666667,0.9956137537956238,1
0.15,0.8814064264297485,1
0.27,0.9831801056861877,1
0.11,0.9873483180999756,1
0.34,0.9590606093406677,1
0.31666666666666665,0.9619317650794983,1
0.4033333333333333,0.9804275035858154,1
0.63,0.9839115142822266,1
0.19333333333333333,0.9692224264144897,1
0.15333333333333332,0.9802977442741394,1
0.2733333333333333,0.9780523180961609,1
0.33666666666666667,0.9914296865463257,1
0.76,0.9726267457008362,1
0.20333333333333334,0.9924227595329285,1
0.36333333333333334,0.9920788407325745,1
0.4266666666666667,0.9504398107528687,1
0.6366666666666667,0.9419787526130676,1
0.22666666666666666,0.9839635491371155,1
0.31666666666666665,0.9668428897857666,1
0.5233333333333333,0.9605005979537964,1
0.3333333333333333,0.9613490700721741,1
0.16333333333333333,0.9931445121765137,1
0.2,0.9984754323959351,1
0.24333333333333335,0.9510653018951416,1
0.5066666666666667,0.9944406151771545,1
0.31,0.992376983165741,1
0.42333333333333334,0.9914629459381104,1
0.12666666666666668,0.9929929971694946,1
0.6633333333333333,0.9213183522224426,1
0.4533333333333333,0.9887663125991821,1
0.26666666666666666,0.9963306784629822,1
0.63,0.978060781955719,1
0.5,0.9685674905776978,1
0.58,0.9650661945343018,1
0.31666666666666665,0.9422309398651123,1
0.3566666666666667,0.968291699886322,1
0.48,0.9178082942962646,1
0.33,0.9686017036437988,1
0.17666666666666667,0.9677457809448242,1
0.6133333333333333,0.9660786390304565,1
0.76,0.9294249415397644,1
0.27666666666666667,0.9210789799690247,1
0.6833333333333333,0.9854971766471863,1
0.25,0.9046038389205933,1
0.37,0.9790329337120056,1
0.5566666666666666,0.9588218927383423,1
0.44333333333333336,0.9873425960540771,1
0.2733333333333333,0.9633490443229675,1
0.25,0.9802898168563843,1
0.3566666666666667,0.9858697056770325,1
0.28,0.9546157717704773,1
0.7766666666666666,0.9640640616416931,1
0.5233333333333333,0.9874899387359619,1
0.8766666666666667,0.995330810546875,1
1.0,0.9907729625701904,1
0.19666666666666666,0.9964715242385864,1
0.4,0.9588581919670105,1
0.22,0.9709603786468506,1
0.54,0.9760346412658691,1
0.44,0.991044819355011,1
0.69,0.9697348475456238,1
0.08,0.9153631925582886,1
0.4866666666666667,0.9310190081596375,1
0.15,0.9776725769042969,1
0.7533333333333333,0.9503099918365479,1
0.33666666666666667,0.9885955452919006,1
0.27,0.9960712194442749,1
0.13666666666666666,0.9828765988349915,1
0.44666666666666666,0.955478310585022,1
0.53,0.9583261609077454,1
0.16666666666666666,0.9958822727203369,1
0.25666666666666665,0.9875733852386475,1
0.16666666666666666,0.9922822713851929,1
0.29,0.9875931739807129,1
0.67,0.9891409873962402,1
0.95,0.9962117075920105,1
0.6366666666666667,0.968476414680481,1
0.9833333333333333,0.98688805103302,1
0.36666666666666664,0.9697632193565369,1
0.11,0.9891359806060791,1
0.26666666666666666,0.9941261410713196,1
0.21666666666666667,0.9796276688575745,1
0.14,0.9786838293075562,1
0.20333333333333334,0.9552174210548401,1
0.22333333333333333,0.9780683517456055,1
0.4866666666666667,0.9787842035293579,1
0.22333333333333333,0.9611263871192932,1
0.19,0.9802664518356323,1
0.27666666666666667,0.9749482870101929,1
0.44,0.975284218788147,1
0.5833333333333334,0.987332284450531,1
0.7633333333333333,0.9733993411064148,1
0.30333333333333334,0.987058699131012,1
0.22,0.9853494763374329,1
0.20666666666666667,0.9426838159561157,1
0.07666666666666666,0.9838172197341919,1
0.19333333333333333,0.9511242508888245,1
0.17,0.9853457808494568,1
0.17,0.9857290387153625,1
0.30333333333333334,0.9778838753700256,1
0.22666666666666666,0.984279215335846,1
0.4066666666666667,0.9519121050834656,1
0.23333333333333334,0.9811224937438965,1
0.31,0.9842463135719299,1
0.19333333333333333,0.9713260531425476,1
0.35333333333333333,0.9743191003799438,1
0.21,0.9562374949455261,1
0.056666666666666664,0.9863957762718201,1
0.20666666666666667,0.970386266708374,1
0.25,0.9825735092163086,1
0.35,0.9805198311805725,1
0.5566666666666666,0.945589005947113,1
0.5133333333333333,0.9728724956512451,1
0.13,0.9840185642242432,1
0.18,0.9849472641944885,1
0.37333333333333335,0.9674585461616516,1
0.24,0.951310396194458,1
0.48,0.9907402396202087,1
0.20333333333333334,0.9917055368423462,1
0.10333333333333333,0.9712288975715637,1
0.62,0.9890162348747253,1
0.3333333333333333,0.9882544875144958,1
0.06,0.9862796068191528,1
0.14,0.9712414145469666,1
0.6533333333333333,0.9677696228027344,1
0.14333333333333334,0.9750889539718628,1
0.21666666666666667,0.9666608572006226,1
0.2,0.9565867185592651,1
0.17333333333333334,0.9853442907333374,1
0.10666666666666667,0.9735774993896484,1
0.23333333333333334,0.9588916897773743,1
0.3,0.9779829978942871,1
0.16,0.9794508814811707,1
0.15666666666666668,0.9941961169242859,1
0.23666666666666666,0.9928469061851501,1
0.16333333333333333,0.9670938849449158,1
0.20666666666666667,0.9702800512313843,1
0.09666666666666666,0.9836225509643555,1
0.25,0.9929634928703308,1
0.5066666666666667,0.9933009147644043,1
0.12666666666666668,0.9761098027229309,1
0.09666666666666666,0.9454910755157471,1
0.5133333333333333,0.9802101850509644,1
0.66,0.9725124835968018,1
0.26666666666666666,0.979473352432251,1
0.5533333333333333,0.985133171081543,1
0.10666666666666667,0.9770103693008423,1
0.46,0.9686632752418518,1
0.13666666666666666,0.9582812786102295,1
0.12666666666666668,0.9557175040245056,1
0.2866666666666667,0.9880659580230713,1
0.6366666666666667,0.9399754405021667,1
0.32666666666666666,0.9102016687393188,1
