toxicity,similarity,generation
0.99845,0.97669,0, 32.0
0.99774,0.89776,0, 32.0
0.99754,0.97366,0, 32.0
0.99798,0.97594,0, 32.0
0.99809,0.92980,0, 32.0
0.99819,0.92133,0, 32.0
0.99758,0.94486,0, 32.0
0.99686,0.88708,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,0.97732,1, 32.0
0.99602,0.94078,1, 32.0
0.99763,0.96811,1, 32.0
0.99746,0.96725,1, 32.0
0.99702,0.92815,1, 32.0
0.99847,0.93282,1, 32.0
0.99788,0.93637,1, 32.0
0.99816,0.94589,1, 32.0
0.99731,0.89536,1, 32.0
0.99641,0.87937,1, 32.0
0.99641,0.88555,1, 32.0
0.99638,0.86373,1, 32.0
0.99555,0.89831,1, 32.0
0.99718,0.94631,1, 32.0
0.99655,0.92811,1, 32.0
0.99738,0.93907,1, 32.0
0.99779,0.94388,1, 32.0
0.99782,0.97324,1, 32.0
0.99760,0.94431,1, 32.0
0.99700,0.95730,1, 32.0
0.99832,0.90702,1, 32.0
0.99830,0.93172,1, 32.0
0.99812,0.91286,1, 32.0
0.99817,0.94211,1, 32.0
0.99786,0.91011,1, 32.0
0.99779,0.92474,1, 32.0
0.99735,0.87998,1, 32.0
0.99855,0.90922,1, 32.0
0.99636,0.92321,1, 32.0
0.99777,0.93012,1, 32.0
0.99706,0.93737,1, 32.0
0.99659,0.90376,1, 32.0
0.99803,0.98129,1, 32.0
0.99807,0.91888,1, 32.0
0.99745,0.95237,1, 32.0
0.99668,0.94985,1, 32.0
0.99857,0.92290,1, 32.0
0.99850,0.88745,1, 32.0
0.99709,0.89481,1, 32.0
0.99812,0.89211,1, 32.0
0.99775,0.87265,1, 32.0
0.99779,0.82983,1, 32.0
0.99662,0.86028,1, 32.0
0.99775,0.88167,1, 32.0
0.99740,0.95249,1, 32.0
0.99755,0.87954,1, 32.0
0.99672,0.92044,1, 32.0
0.99753,0.93409,1, 32.0
0.99706,0.73311,1, 32.0
0.99729,0.87242,1, 32.0
0.99733,0.90916,1, 32.0
0.99721,0.81473,1, 32.0
0.99811,0.85834,1, 32.0
0.99808,0.85875,1, 32.0
0.99809,0.86208,1, 32.0
0.99809,0.86750,1, 32.0
0.99810,0.92726,1, 32.0
0.99789,0.95798,1, 32.0
0.99795,0.86668,1, 32.0
0.99757,0.92984,1, 32.0
0.99756,0.94665,1, 32.0
0.99755,0.93860,1, 32.0
0.99756,0.94298,1, 32.0
0.99751,0.93832,1, 32.0
0.99809,0.95609,1, 32.0
