toxicity,similarity,generation
0.99793,0.96613,0, 32.0
0.99812,0.97274,0, 32.0
0.99816,0.98507,0, 32.0
0.99764,0.95603,0, 32.0
0.99835,0.98561,0, 32.0
0.99828,0.98290,0, 32.0
0.99838,0.98102,0, 32.0
0.99812,0.98722,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99837,0.98230,1, 32.0
0.99826,0.93958,1, 32.0
0.99804,0.98771,1, 32.0
0.99736,0.96888,1, 32.0
0.99769,0.95773,1, 32.0
0.99704,0.88856,1, 32.0
0.99756,0.96032,1, 32.0
0.99797,0.92636,1, 32.0
0.99818,0.97300,1, 32.0
0.99593,0.88652,1, 32.0
0.99806,0.96519,1, 32.0
0.99810,0.96059,1, 32.0
0.99831,0.89714,1, 32.0
0.99819,0.91087,1, 32.0
0.99555,0.93489,1, 32.0
0.99802,0.96325,1, 32.0
0.99597,0.92835,1, 32.0
0.99757,0.92815,1, 32.0
0.99715,0.96196,1, 32.0
0.99695,0.92499,1, 32.0
0.99778,0.94109,1, 32.0
0.99821,0.95613,1, 32.0
0.99850,0.96590,1, 32.0
0.99807,0.97642,1, 32.0
0.99764,0.95052,1, 32.0
0.99819,0.96917,1, 32.0
0.99829,0.94955,1, 32.0
0.99801,0.91627,1, 32.0
0.99811,0.92513,1, 32.0
0.99801,0.92618,1, 32.0
0.99830,0.93156,1, 32.0
0.99648,0.85682,1, 32.0
0.99815,0.97453,1, 32.0
0.99795,0.97594,1, 32.0
0.99642,0.89423,1, 32.0
0.99567,0.89211,1, 30.0
0.99836,0.92817,1, 32.0
0.99827,0.91671,1, 32.0
0.99828,0.92895,1, 32.0
0.99812,0.94276,1, 32.0
0.99788,0.94171,1, 32.0
0.99796,0.94467,1, 32.0
0.99773,0.94168,1, 32.0
0.99788,0.90847,1, 32.0
0.99814,0.94780,1, 32.0
0.99820,0.90416,1, 32.0
0.99757,0.94697,1, 32.0
0.99683,0.92004,1, 32.0
0.99822,0.89760,1, 32.0
0.99820,0.83801,1, 32.0
0.99817,0.88407,1, 32.0
0.99812,0.89678,1, 32.0
0.99778,0.92050,1, 32.0
0.99763,0.88843,1, 32.0
0.99745,0.93398,1, 32.0
0.99730,0.87298,1, 32.0
0.99836,0.90357,1, 32.0
0.99835,0.91471,1, 32.0
0.99822,0.92602,1, 32.0
0.99833,0.91639,1, 32.0
0.99838,0.98068,1, 32.0
0.99836,0.97359,1, 32.0
0.99835,0.97776,1, 32.0
0.99839,0.94326,1, 32.0
0.99837,0.94977,1, 32.0
0.99812,0.95431,1, 32.0
0.99838,0.96840,1, 32.0
0.99832,0.93341,1, 32.0
0.99812,0.91823,1, 32.0
0.99824,0.92040,1, 32.0
0.99758,0.94175,1, 32.0
0.99662,0.83080,1, 32.0
