toxicity,similarity,generation
0.99736,0.96066,0, 1.0
0.99803,0.81566,0, 0.9296875
0.99798,0.96592,0, 0.9140625
0.99796,0.95176,0, 1.0
0.99806,0.96099,0, 0.640625
0.99813,0.97707,0, 1.0
0.99821,0.92196,0, 0.6171875
0.99760,0.95310,0, 0.953125
0.99686,0.94761,0, 0.578125
0.99663,0.90561,0, 0.984375
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.5
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99618,0.96468,1, 1.0
0.99789,0.94056,1, 0.8046875
0.99793,0.89475,1, 0.484375
0.99803,0.98537,1, 1.0
0.99789,0.92967,1, 0.59375
0.99630,0.93174,1, 1.0
0.99702,0.91726,1, 0.6171875
0.99708,0.86622,1, 1.0
0.99623,0.92297,1, 1.0
0.99623,0.91873,1, 0.640625
0.99782,0.89709,1, 1.0
0.99815,0.91202,1, 0.8359375
0.99805,0.90532,1, 1.0
0.99822,0.90494,1, 0.9296875
0.99848,0.88143,1, 0.859375
0.99801,0.95642,1, 1.0
0.99824,0.96463,1, 1.0
0.99813,0.96073,1, 0.9453125
0.99760,0.94559,1, 1.0
0.99802,0.92922,1, 1.0
0.99809,0.91898,1, 1.0
0.99803,0.91091,1, 1.0
0.99800,0.92808,1, 1.0
0.99800,0.93585,1, 0.7890625
0.99805,0.91198,1, 1.0
0.99679,0.91460,1, 0.8671875
0.99681,0.92350,1, 0.9140625
0.99681,0.92791,1, 0.8671875
0.99689,0.91492,1, 1.0
0.99682,0.90124,1, 1.0
0.99824,0.86845,1, 1.0
0.99822,0.85317,1, 0.9453125
0.99816,0.86978,1, 1.0
0.99825,0.87044,1, 0.890625
0.99819,0.82373,1, 1.0
0.99830,0.94615,1, 1.0
0.99823,0.94285,1, 0.7265625
0.99817,0.95067,1, 1.0
0.99813,0.93925,1, 1.0
0.99827,0.92519,1, 0.640625
0.99804,0.96303,1, 0.9765625
0.99814,0.99112,1, 1.0
0.99813,0.99204,1, 1.0
0.99809,0.88726,1, 1.0
0.99812,0.98234,2, 1.0
0.99822,0.97826,2, 1.0
0.99805,0.97966,2, 1.0
0.99793,0.97559,2, 0.5234375
0.99798,0.99678,2, 1.0
0.99760,0.88421,2, 0.9765625
0.99796,0.86549,2, 0.8671875
0.99752,0.81467,2, 0.7109375
0.99733,0.80053,2, 1.0
0.99806,0.82123,2, 0.7421875
0.99625,0.91054,2, 0.6171875
0.99421,0.91439,2, 0.203125
0.99644,0.93525,2, 1.0
0.99702,0.92625,2, 1.0
0.99604,0.91676,2, 1.0
0.99813,0.92340,2, 0.7421875
0.99765,0.91186,2, 1.0
0.99490,0.88437,2, 1.0
0.99618,0.87192,2, 1.0
0.99802,0.91818,2, 0.6640625
0.99814,0.98607,2, 0.9453125
0.99814,0.99112,2, 1.0
