toxicity,similarity,generation
0.99823,0.98313,0, 1.0000
0.99816,0.91370,0, 1.0000
0.99793,0.95628,0, 1.0000
0.99817,0.96449,0, 1.0000
0.99822,0.95799,0, 1.0000
0.99831,0.73626,0, 1.0000
0.99829,0.93286,0, 1.0000
0.99831,0.84834,0, 1.0000
0.99821,0.88478,0, 1.0000
0.99828,0.85220,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99828,0.93726,1, 1.0000
0.99804,0.97364,1, 1.0000
0.99822,0.96962,1, 1.0000
0.99823,0.91747,1, 1.0000
0.99817,0.95753,1, 1.0000
0.99748,0.93432,1, 1.0000
0.99817,0.92977,1, 1.0000
0.99811,0.93114,1, 1.0000
0.99803,0.92461,1, 1.0000
0.99831,0.96518,1, 1.0000
0.99578,0.78961,1, 1.0000
0.99803,0.90381,1, 1.0000
0.99786,0.95526,1, 1.0000
0.99822,0.88375,1, 1.0000
0.99815,0.91514,1, 1.0000
0.99768,0.89467,1, 1.0000
0.99771,0.94187,1, 1.0000
0.99768,0.92356,1, 1.0000
0.99787,0.90281,1, 1.0000
0.99737,0.90573,1, 1.0000
0.99812,0.91635,1, 1.0000
0.99810,0.94091,1, 1.0000
0.99823,0.87979,1, 1.0000
0.99811,0.88914,1, 1.0000
0.99800,0.82798,1, 1.0000
0.99804,0.93977,1, 1.0000
0.99817,0.94131,1, 1.0000
0.99802,0.92883,1, 1.0000
0.99816,0.90797,1, 1.0000
0.99809,0.95588,1, 1.0000
0.99799,0.66939,1, 1.0000
0.99784,0.70452,1, 1.0000
0.99820,0.72254,1, 1.0000
0.99681,0.67969,1, 1.0000
0.99755,0.71164,1, 1.0000
0.99823,0.90266,1, 1.0000
0.99810,0.87932,1, 1.0000
0.99804,0.84300,1, 1.0000
0.99818,0.79962,1, 1.0000
0.99821,0.93066,1, 1.0000
0.99840,0.89757,1, 1.0000
0.99795,0.86396,1, 1.0000
0.99821,0.82018,1, 1.0000
0.99824,0.85986,1, 1.0000
0.99829,0.85106,1, 1.0000
0.99702,0.80049,1, 1.0000
0.99774,0.86629,1, 1.0000
0.99815,0.87248,1, 1.0000
0.99811,0.81303,1, 1.0000
0.99764,0.87137,1, 1.0000
0.99836,0.98536,1, 1.0000
0.99838,0.94097,1, 1.0000
0.99788,0.97075,1, 1.0000
0.99743,0.96291,1, 1.0000
0.99733,0.93504,1, 1.0000
0.99832,0.90845,1, 1.0000
0.99830,0.91775,1, 1.0000
0.99829,0.83587,1, 1.0000
0.99826,0.90510,1, 1.0000
0.99820,0.88978,1, 1.0000
0.99826,0.84508,1, 1.0000
0.99852,0.87707,1, 1.0000
0.99849,0.86850,1, 1.0000
0.99835,0.89887,1, 1.0000
0.99849,0.86106,1, 1.0000
0.99812,0.95263,1, 1.0000
0.99815,0.92284,1, 1.0000
0.99802,0.86795,1, 1.0000
0.99831,0.85414,1, 1.0000
0.99808,0.87093,1, 1.0000
0.99821,0.93005,1, 1.0000
0.99821,0.92945,1, 1.0000
0.99822,0.84425,1, 1.0000
0.99819,0.91821,1, 1.0000
0.99828,0.88650,1, 1.0000
0.99842,0.90065,1, 1.0000
0.99847,0.90912,1, 1.0000
0.99829,0.88411,1, 1.0000
0.99852,0.88678,1, 1.0000
