toxicity,similarity,generation
0.99704,0.91247,0, 95.0
0.99815,0.90199,0, 128.0
0.99796,0.97593,0, 128.0
0.99788,0.95093,0, 128.0
0.99819,0.96518,0, 128.0
0.99813,0.87365,0, 126.0
0.99813,0.90644,0, 128.0
0.99808,0.90806,0, 128.0
0.99810,0.89176,0, 128.0
0.99811,0.86718,0, 94.0
0.99808,1.00000,0, 41.0
0.99808,1.00000,0, 128.0
0.99808,1.00000,0, 128.0
0.99808,1.00000,0, 128.0
0.99808,1.00000,0, 128.0
0.99808,1.00000,0, 128.0
0.99808,1.00000,0, 64.0
0.99808,1.00000,0, 70.0
0.99803,0.98449,1, 150.0
0.99636,0.93368,1, 150.0
0.99817,0.99547,1, 150.0
0.99794,0.98845,1, 150.0
0.99814,0.98581,1, 150.0
0.99634,0.92434,1, 84.00000000000001
0.99757,0.97152,1, 150.0
0.99788,0.94897,1, 73.0
0.99804,0.92790,1, 150.0
0.99804,0.99018,1, 84.00000000000001
0.99769,0.92837,1, 45.0
0.99823,0.93726,1, 120.0
0.99562,0.93408,1, 150.0
0.99788,0.99479,1, 150.0
0.99810,0.97262,1, 148.0
0.99812,0.87817,1, 150.0
0.99784,0.83120,1, 61.0
0.99813,0.84427,1, 150.0
0.99803,0.87880,1, 150.0
0.99650,0.88036,1, 84.00000000000001
0.99712,0.90284,1, 150.0
0.99739,0.88066,1, 150.0
0.99642,0.93172,1, 150.0
0.99707,0.87098,1, 150.0
0.99686,0.87599,1, 150.0
0.99818,0.88029,1, 150.0
0.99816,0.88898,1, 129.0
0.99823,0.88250,1, 150.0
0.99718,0.82252,1, 150.0
0.99835,0.86133,1, 150.0
0.99820,0.96960,1, 150.0
0.99773,0.96144,1, 90.0
0.99667,0.93708,1, 150.0
0.99690,0.91301,1, 150.0
0.99755,0.91969,1, 54.0
0.99811,0.89340,1, 150.0
0.99801,0.88503,1, 133.0
0.99762,0.89796,1, 150.0
0.99801,0.87610,1, 80.0
0.99843,0.85381,1, 141.0
0.99808,0.98490,1, 124.0
0.99810,0.92684,1, 118.0
0.99756,0.96425,1, 148.0
0.99680,0.95711,1, 71.0
0.99659,0.91480,1, 150.0
0.99769,0.75245,1, 150.0
0.99775,0.90176,1, 87.0
0.99785,0.92627,1, 64.0
0.99765,0.90774,1, 94.0
0.99769,0.83950,1, 82.0
0.99810,0.92654,1, 150.0
0.99812,0.94687,1, 150.0
0.99812,0.94211,1, 116.0
0.99809,0.87847,1, 150.0
0.99817,0.90713,1, 150.0
0.99813,0.93679,1, 150.0
0.99816,0.85070,1, 150.0
0.99817,0.87006,1, 102.00000000000001
0.99812,0.82632,1, 150.0
0.99809,0.87555,1, 150.0
0.99716,0.82679,1, 150.0
0.99710,0.83079,1, 150.0
0.99717,0.83699,1, 150.0
0.99723,0.84630,1, 150.0
0.99700,0.83722,1, 129.0
0.99818,0.85471,1, 150.0
0.99816,0.82746,1, 150.0
0.99818,0.83236,1, 122.99999999999999
0.99816,0.80981,1, 150.0
0.99817,0.83136,1, 150.0
0.99806,0.95342,1, 150.0
0.99802,0.95540,1, 71.0
0.99804,0.95924,1, 150.0
0.99798,0.93461,1, 89.0
0.99813,0.94918,1, 150.0
0.99814,0.97279,1, 150.0
0.99817,0.97296,1, 150.0
0.99804,0.95397,1, 94.0
0.99825,0.94979,1, 150.0
0.99819,0.96456,1, 104.0
0.99820,0.83443,1, 150.0
0.99820,0.83443,1, 71.0
0.99812,0.92897,1, 150.0
0.99660,0.95386,1, 136.0
0.99808,1.00000,1, 133.0
0.99812,0.92897,1, 150.0
0.99808,1.00000,1, 124.0
0.99817,0.91828,1, 150.0
0.99756,0.92837,2, 119.00000000000001
0.99373,0.88332,2, 22.999999999999996
0.99472,0.87420,2, 25.000000000000004
0.99797,0.91821,2, 39.0
0.99747,0.93015,2, 173.0
0.99591,0.92141,2, 95.0
0.99734,0.90750,2, 63.0
0.99724,0.90467,2, 27.0
0.99740,0.91717,2, 173.0
0.99735,0.94867,2, 27.0
0.99814,0.98680,2, 168.0
0.99823,0.99211,2, 142.0
0.99815,0.98150,2, 173.0
0.99833,0.97496,2, 173.0
0.99826,0.97321,2, 103.0
0.99765,0.82998,2, 173.0
0.99763,0.84140,2, 91.0
