toxicity,similarity,generation
0.99819,0.91584,0, 1.0000
0.99835,0.95096,0, 1.0000
0.99798,0.93126,0, 1.0000
0.99813,0.91128,0, 1.0000
0.99815,0.94481,0, 1.0000
0.99830,0.97416,0, 1.0000
0.99853,0.93019,0, 1.0000
0.99802,0.94505,0, 1.0000
0.99741,0.95223,0, 1.0000
0.99758,0.92084,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99782,0.95548,1, 1.0000
0.99824,0.94887,1, 1.0000
0.99805,0.90788,1, 1.0000
0.99817,0.91638,1, 1.0000
0.99796,0.94941,1, 1.0000
0.99823,0.90345,1, 1.0000
0.99802,0.86944,1, 1.0000
0.99832,0.92434,1, 1.0000
0.99825,0.89946,1, 1.0000
0.99825,0.89093,1, 1.0000
0.99823,0.94460,1, 1.0000
0.99817,0.92457,1, 1.0000
0.99830,0.94374,1, 1.0000
0.99816,0.91358,1, 1.0000
0.99835,0.93748,1, 1.0000
0.99805,0.92206,1, 1.0000
0.99820,0.88616,1, 1.0000
0.99769,0.70859,1, 1.0000
0.99637,0.88236,1, 1.0000
0.99789,0.92124,1, 1.0000
0.99818,0.91035,1, 1.0000
0.99803,0.85077,1, 1.0000
0.99814,0.85388,1, 1.0000
0.99828,0.82541,1, 1.0000
0.99747,0.75579,1, 1.0000
0.99810,0.90417,1, 1.0000
0.99801,0.89220,1, 1.0000
0.99813,0.91726,1, 1.0000
0.99813,0.85995,1, 1.0000
0.99803,0.92204,1, 1.0000
0.99813,0.95300,1, 1.0000
0.99769,0.86671,1, 1.0000
0.99823,0.94784,1, 1.0000
0.99827,0.94985,1, 1.0000
0.99819,0.92213,1, 1.0000
0.99847,0.91070,1, 1.0000
0.99864,0.90300,1, 1.0000
0.99826,0.89713,1, 1.0000
0.99877,0.91718,1, 1.0000
0.99824,0.87553,1, 1.0000
0.99777,0.91154,1, 1.0000
0.99772,0.89735,1, 1.0000
0.99663,0.91558,1, 1.0000
0.99776,0.92883,1, 1.0000
0.99771,0.90286,1, 1.0000
0.99674,0.90958,1, 1.0000
0.99697,0.89249,1, 1.0000
0.99706,0.94023,1, 1.0000
0.99711,0.90338,1, 1.0000
0.99749,0.88017,1, 1.0000
0.99827,0.94206,1, 1.0000
0.99827,0.97142,1, 1.0000
0.99827,0.96159,1, 1.0000
0.99829,0.91778,1, 1.0000
0.99829,0.94223,1, 1.0000
0.99829,0.87040,1, 1.0000
0.99858,0.83684,1, 1.0000
0.99744,0.82886,1, 1.0000
0.99807,0.90332,1, 1.0000
0.99735,0.84309,1, 1.0000
0.99831,0.91286,1, 1.0000
0.99835,0.91397,1, 1.0000
0.99833,0.88324,1, 1.0000
0.99824,0.88629,1, 1.0000
0.99834,0.90322,1, 1.0000
0.99801,0.79864,1, 1.0000
0.99802,0.81497,1, 1.0000
0.99803,0.76976,1, 1.0000
0.99800,0.82218,1, 1.0000
0.99803,0.81409,1, 1.0000
0.99815,0.88786,1, 1.0000
0.99812,0.91138,1, 1.0000
0.99806,0.80058,1, 1.0000
0.99816,0.87186,1, 1.0000
0.99805,0.89549,1, 1.0000
0.99815,0.94587,1, 1.0000
0.99809,0.90340,1, 1.0000
0.99818,0.88004,1, 1.0000
0.99815,0.92960,1, 1.0000
0.99815,0.88826,1, 1.0000
0.99845,0.96375,1, 1.0000
0.99850,0.95523,1, 1.0000
0.99834,0.94839,1, 1.0000
0.99854,0.95509,1, 1.0000
0.99820,0.96400,1, 1.0000
0.99867,0.87717,1, 1.0000
0.99862,0.86338,1, 1.0000
0.99860,0.87612,1, 1.0000
0.99849,0.89923,1, 1.0000
0.99862,0.85932,1, 1.0000
0.99803,0.94911,1, 1.0000
0.99784,0.95865,1, 1.0000
0.99810,0.94868,1, 1.0000
0.99811,0.94814,1, 1.0000
0.99815,0.95286,1, 1.0000
0.99740,0.85662,1, 1.0000
0.99746,0.83732,1, 1.0000
0.99741,0.86364,1, 1.0000
0.99744,0.81033,1, 1.0000
0.99746,0.80800,1, 1.0000
0.99824,0.93660,1, 1.0000
0.99832,0.96974,1, 1.0000
0.99848,0.99285,1, 1.0000
0.99838,0.89607,1, 1.0000
0.99829,0.93908,1, 1.0000
0.99823,0.95149,1, 1.0000
0.99839,0.98323,1, 1.0000
0.99838,0.98595,1, 1.0000
0.99839,0.96410,1, 1.0000
0.99817,0.87765,1, 1.0000
0.99849,0.96456,1, 1.0000
0.99828,0.98351,1, 1.0000
0.99732,0.91155,1, 1.0000
0.99821,0.94877,1, 1.0000
0.99806,0.87926,1, 1.0000
0.99824,0.93214,1, 1.0000
0.99821,0.98914,1, 1.0000
0.99751,0.94995,1, 1.0000
0.99817,0.97604,1, 1.0000
0.99777,0.92705,1, 1.0000
0.99743,0.95407,1, 1.0000
0.99846,0.97742,1, 1.0000
