toxicity,similarity,generation
0.99818,0.96000,0, 32.0
0.99781,0.96404,0, 32.0
0.99767,0.97743,0, 32.0
0.99791,0.95505,0, 32.0
0.99826,0.98475,0, 32.0
0.99770,0.70957,0, 32.0
0.99788,0.79226,0, 32.0
0.99784,0.86675,0, 32.0
0.99777,0.80273,0, 32.0
0.99776,0.76734,0, 32.0
0.99826,0.99056,1, 32.0
0.99811,0.94678,1, 32.0
0.99793,0.93865,1, 32.0
0.99798,0.97996,1, 32.0
0.99777,0.98141,1, 32.0
0.99820,0.93327,1, 32.0
0.99817,0.95096,1, 32.0
0.99752,0.91137,1, 32.0
0.99667,0.92835,1, 32.0
0.99806,0.92996,1, 32.0
0.99793,0.95964,1, 32.0
0.99794,0.96374,1, 32.0
0.99759,0.93481,1, 32.0
0.99516,0.93959,1, 32.0
0.99796,0.96165,1, 32.0
0.99793,0.97696,1, 32.0
0.99753,0.96400,1, 32.0
0.99722,0.95116,1, 32.0
0.99720,0.95119,1, 32.0
0.99477,0.93877,1, 32.0
0.99793,0.95099,1, 32.0
0.99761,0.93431,1, 32.0
0.99236,0.84238,1, 32.0
0.99796,0.94326,1, 32.0
0.99784,0.95265,1, 32.0
0.99467,0.89305,1, 32.0
0.99828,0.98516,1, 32.0
0.99827,0.96931,1, 32.0
0.99807,0.96516,1, 32.0
0.99791,0.97766,1, 32.0
0.99517,0.69959,1, 32.0
0.99612,0.67659,1, 32.0
0.99749,0.67870,1, 32.0
0.99557,0.69347,1, 32.0
0.99726,0.68120,1, 32.0
0.99754,0.72303,1, 32.0
0.99807,0.77440,1, 32.0
0.99811,0.77401,1, 32.0
0.99769,0.76463,1, 32.0
0.99794,0.77491,1, 32.0
0.99804,0.99427,1, 32.0
0.99802,0.99123,1, 32.0
0.99801,0.98916,1, 32.0
0.99801,0.98871,1, 32.0
0.99802,0.96793,1, 32.0
0.99825,0.94248,1, 32.0
0.99822,0.93923,1, 32.0
0.99833,0.91974,1, 32.0
0.99826,0.93454,1, 32.0
0.99824,0.92918,1, 32.0
0.99793,0.86406,1, 32.0
0.99788,0.87465,1, 32.0
0.99789,0.88122,1, 32.0
0.99781,0.87046,1, 32.0
