toxicity,similarity,generation
0.99800,0.96954,0, 1.0
0.99832,0.97696,0, 1.0
0.99815,0.92560,0, 1.0
0.99834,0.95841,0, 1.0
0.99813,0.97707,0, 1.0
0.99821,0.92196,0, 1.0
0.99760,0.95310,0, 1.0
0.99686,0.94761,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99814,0.99146,1, 1.0
0.99815,0.98161,1, 1.0
0.99617,0.91991,1, 1.0
0.99802,0.98762,1, 1.0
0.99730,0.96102,1, 1.0
0.99745,0.91521,1, 1.0
0.99756,0.92467,1, 1.0
0.99704,0.88843,1, 1.0
0.99757,0.96421,1, 1.0
0.99819,0.96585,1, 1.0
0.99779,0.94976,1, 1.0
0.99707,0.94729,1, 1.0
0.99828,0.90294,1, 1.0
0.99813,0.87769,1, 1.0
0.99809,0.90442,1, 1.0
0.99792,0.92612,1, 1.0
0.99865,0.92093,1, 1.0
0.99839,0.93542,1, 1.0
0.99834,0.88001,1, 1.0
0.99858,0.93090,1, 1.0
0.99814,0.96513,1, 1.0
0.99820,0.96201,1, 1.0
0.99727,0.93548,1, 1.0
0.99848,0.91850,1, 1.0
0.99766,0.91037,1, 1.0
0.99779,0.88866,1, 1.0
0.99859,0.90426,1, 1.0
0.99812,0.89559,1, 1.0
0.99753,0.90652,1, 1.0
0.99630,0.92002,1, 1.0
0.99687,0.92299,1, 1.0
0.99629,0.91895,1, 1.0
0.99811,0.92785,1, 1.0
0.99811,0.91671,1, 1.0
0.99801,0.93140,1, 1.0
0.99813,0.93734,1, 1.0
0.99824,0.98395,1, 1.0
0.99814,0.97163,1, 1.0
0.99826,0.93143,1, 1.0
0.99750,0.96652,1, 1.0
0.99833,0.95426,1, 1.0
0.99842,0.88464,1, 1.0
0.99784,0.93141,1, 1.0
0.99697,0.92943,1, 1.0
0.99815,0.93903,1, 1.0
0.99811,0.93306,1, 1.0
0.99806,0.90427,1, 1.0
0.99767,0.92916,1, 1.0
0.99837,0.90867,1, 1.0
0.99833,0.86029,1, 1.0
0.99836,0.91234,1, 1.0
0.99844,0.88419,1, 1.0
0.99815,0.94151,1, 1.0
