toxicity,similarity,generation
0.99826,0.91219,0, 0.8833
0.99824,0.97766,0, 0.8567
0.99827,0.94292,0, 0.7067
0.99803,0.93900,0, 0.5667
0.99805,0.95569,0, 1.0000
0.99827,0.91612,0, 1.0000
0.99823,0.92902,0, 1.0000
0.99829,0.83896,0, 1.0000
0.99828,0.90072,0, 0.8633
0.99823,0.90099,0, 0.9833
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 0.7867
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 0.7067
0.99827,1.00000,0, 0.6967
0.99827,1.00000,0, 0.6533
0.99827,1.00000,0, 0.8733
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 0.5967
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 0.5400
0.99827,1.00000,0, 0.9933
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 0.8500
0.99827,1.00000,0, 0.9033
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 0.6900
0.99827,1.00000,0, 0.6433
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 0.4733
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 0.5167
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 0.9333
0.99827,1.00000,0, 1.0000
0.99818,0.97047,1, 0.8367
0.99832,0.99525,1, 1.0000
0.99826,0.98360,1, 0.6200
0.99809,0.97929,1, 0.7300
0.99812,0.96838,1, 1.0000
0.99824,0.97995,1, 1.0000
0.99811,0.93091,1, 0.6667
0.99817,0.97768,1, 1.0000
0.99821,0.94857,1, 0.5333
0.99822,0.96148,1, 1.0000
0.99810,0.96668,1, 0.5833
0.99827,0.94044,1, 0.7400
0.99814,0.90340,1, 1.0000
0.99668,0.84572,1, 1.0000
0.99833,0.97949,1, 1.0000
0.99815,0.95823,1, 0.6833
0.99794,0.90058,1, 1.0000
0.99718,0.86634,1, 0.4567
0.99807,0.97783,1, 0.4567
0.99818,0.95248,1, 1.0000
0.99809,0.94100,1, 0.5100
0.99789,0.87547,1, 0.3000
0.99804,0.92408,1, 0.3400
0.99787,0.91736,1, 0.7867
0.99790,0.92785,1, 0.7267
0.99836,0.93630,1, 1.0000
0.99829,0.91309,1, 0.7867
0.99812,0.95043,1, 0.8533
0.99802,0.93549,1, 1.0000
0.99837,0.93064,1, 1.0000
0.99821,0.97447,1, 1.0000
0.99821,0.98004,1, 0.4433
0.99811,0.96823,1, 0.4933
0.99817,0.95881,1, 0.6667
0.99826,0.96079,1, 1.0000
0.99824,0.97446,1, 0.3767
0.99831,0.91622,1, 0.5700
0.99819,0.97081,1, 0.6833
0.99815,0.92341,1, 0.4633
0.99832,0.96420,1, 1.0000
0.99808,0.94778,1, 1.0000
0.99828,0.96094,1, 1.0000
0.99817,0.94229,1, 1.0000
0.99833,0.95287,1, 0.6433
0.99813,0.98539,1, 1.0000
0.99807,0.96098,1, 0.3200
0.99778,0.86249,1, 0.5700
0.99814,0.89636,1, 1.0000
0.99806,0.94414,1, 1.0000
0.99827,0.97246,1, 0.6467
0.99826,0.99601,1, 1.0000
0.99826,0.99389,1, 1.0000
0.99828,0.99245,1, 0.6900
0.99829,0.99618,1, 0.7933
0.99825,0.98582,1, 0.7833
0.99824,0.98502,1, 0.9567
0.99824,0.96877,1, 1.0000
0.99829,0.97821,1, 0.7300
0.99828,0.98376,1, 1.0000
0.99826,0.97240,1, 0.5467
0.99824,0.96386,1, 1.0000
0.99824,0.95278,1, 1.0000
0.99829,0.96626,1, 1.0000
0.99823,0.95590,1, 1.0000
0.99829,0.95055,1, 1.0000
0.99829,0.97300,1, 0.7700
0.99844,0.98097,1, 1.0000
0.99851,0.96930,1, 0.8967
0.99831,0.97944,1, 1.0000
0.99849,0.97955,1, 1.0000
0.99805,0.87187,1, 1.0000
0.99800,0.88863,1, 1.0000
0.99806,0.82773,1, 0.4000
0.99803,0.82028,1, 1.0000
0.99800,0.85439,1, 0.8667
0.99820,0.71304,1, 1.0000
0.99829,0.80242,1, 1.0000
0.99827,0.87120,1, 1.0000
0.99820,0.82280,1, 1.0000
