toxicity,similarity,generation
0.99630,0.91247,0, 32.0
0.99828,0.99253,0, 32.0
0.99808,0.97979,0, 32.0
0.99805,0.98687,0, 32.0
0.99809,0.98526,0, 32.0
0.99805,0.98354,0, 32.0
0.99818,0.98154,0, 32.0
0.99808,0.98726,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99808,1.00000,0, 32.0
0.99769,0.98005,1, 32.0
0.99758,0.94508,1, 32.0
0.99772,0.93340,1, 32.0
0.99717,0.98196,1, 32.0
0.99643,0.91209,1, 32.0
0.99546,0.86430,1, 32.0
0.99657,0.90760,1, 32.0
0.99587,0.89496,1, 32.0
0.99808,0.98085,1, 32.0
0.99820,0.98484,1, 32.0
0.99791,0.95930,1, 32.0
0.99816,0.98861,1, 32.0
0.99768,0.96650,1, 32.0
0.99450,0.84593,1, 32.0
0.99782,0.94700,1, 32.0
0.99750,0.92200,1, 32.0
0.99770,0.95165,1, 32.0
0.99815,0.90015,1, 32.0
0.99856,0.96202,1, 32.0
0.99769,0.96838,1, 32.0
0.99821,0.93313,1, 32.0
0.99771,0.89503,1, 32.0
0.99774,0.95228,1, 32.0
0.99646,0.90362,1, 32.0
0.99816,0.96700,1, 32.0
0.99751,0.89984,1, 32.0
0.99783,0.95722,1, 32.0
0.99814,0.96605,1, 32.0
0.99828,0.92638,1, 32.0
0.99825,0.91317,1, 32.0
0.99831,0.95594,1, 32.0
0.99828,0.90734,1, 32.0
0.99805,0.96972,1, 32.0
0.99748,0.94050,1, 32.0
0.99542,0.87428,1, 32.0
0.99821,0.96417,1, 32.0
0.99356,0.89945,1, 32.0
0.99797,0.97780,1, 32.0
0.99800,0.96033,1, 32.0
0.99785,0.96496,1, 32.0
0.99811,0.92785,1, 32.0
0.99811,0.91671,1, 32.0
0.99801,0.93140,1, 32.0
