toxicity,similarity,generation
1.0,0.9991963505744934,0
1.0,0.9717153310775757,0
1.0,0.9764522314071655,0
1.0,0.9966474175453186,0
1.0,0.9990307092666626,0
1.0,0.9870423674583435,0
1,0.9800282716751099,0
1.0,0.9874948263168335,0
1.0,0.9976937770843506,0
1.0,0.9926165342330933,0
1.0,0.9823254346847534,1
1.0,0.9823451042175293,1
1,0.984417200088501,1
1.0,0.9942979216575623,1
1.0,0.9925498962402344,1
1.0,0.9761656522750854,1
1.0,0.9955717921257019,1
1.0,0.9805910587310791,1
1,0.995450496673584,1
1.0,0.9351195096969604,1
1.0,0.9665716290473938,1
1.0,0.9879449009895325,1
1.0,0.9722065925598145,1
1.0,0.9661344885826111,1
1.0,0.9317798018455505,1
1,0.9611877799034119,1
1.0,0.9660308361053467,1
1,0.9560443758964539,1
1,0.9659781455993652,1
1,0.9895493984222412,1
1.0,0.9577761888504028,1
1,0.9749828577041626,1
1.0,0.9723172187805176,1
1.0,0.9592182636260986,1
1,0.9735603928565979,1
1.0,0.9743801355361938,1
1.0,0.9734525680541992,1
1.0,0.9579866528511047,1
1.0,0.9469307065010071,1
1.0,0.9683996438980103,1
1.0,0.9818635582923889,1
1.0,0.9960896372795105,1
1.0,0.9913607835769653,1
1.0,0.986125111579895,1
1.0,0.9951456189155579,1
1.0,0.99293452501297,1
1.0,0.9884628057479858,1
1,0.963674783706665,1
1,0.9442071318626404,1
1.0,0.990362286567688,1
1.0,0.9868574142456055,1
1.0,0.9880120754241943,1
1.0,0.9894737601280212,1
1.0,0.9778260588645935,1
1.0,0.9891456961631775,1
1.0,0.9987617135047913,1
1.0,0.9918150901794434,1
1.0,0.9920856952667236,1
1.0,0.9669312238693237,1
1.0,0.9396417140960693,1
1.0,0.9843469262123108,1
1,0.9865663051605225,1
1,0.9755967259407043,1
1.0,0.9731537103652954,1
1.0,0.969344973564148,1
1.0,0.9767242670059204,1
1.0,0.9367800951004028,1
1.0,0.9783869981765747,1
1.0,0.97995924949646,1
1,0.9808045625686646,1
1.0,0.9529926776885986,1
1.0,0.9623247385025024,1
1,0.968296229839325,1
1.0,0.9792703986167908,1
1.0,0.9758353233337402,1
1.0,0.9718093872070312,1
1.0,0.9818714261054993,1
1.0,0.9788709282875061,1
1.0,0.9822216033935547,1
1,0.9739320874214172,1
1.0,0.8960457444190979,1
1.0,0.9757086038589478,1
1,0.9741566181182861,1
1,0.9838606715202332,1
1.0,0.9782684445381165,1
1.0,0.9751458168029785,1
1.0,0.963238000869751,1
1,0.9689926505088806,1
1,0.939498782157898,1
1.0,0.9744935631752014,1
1,0.9910866618156433,1
1,0.9482282400131226,1
1.0,0.9877367615699768,1
1.0,0.9934835433959961,1
1,0.9973927140235901,1
1.0,0.9944297075271606,1
1.0,0.9403609037399292,1
1.0,0.9316545128822327,1
1,0.9945294857025146,1
1.0,0.978952944278717,1
1,0.9813603162765503,1
1,0.9904212355613708,1
1,0.8724718689918518,1
1.0,0.9863156676292419,1
1,0.984551727771759,1
1.0,0.9837181568145752,1
1.0,0.9722357988357544,1
1,0.985888659954071,1
1.0,0.989965558052063,1
1.0,0.9886542558670044,1
1.0,0.9809168577194214,2
1.0,0.9783905148506165,2
1,0.9747122526168823,2
1.0,0.9685173034667969,2
1.0,0.9797599911689758,2
1.0,0.977188766002655,2
1.0,0.9787386655807495,2
1.0,0.9810725450515747,2
1.0,0.9735755920410156,2
1.0,0.9788551330566406,2
1,0.9623168706893921,2
1.0,0.9790152311325073,2
1.0,0.9788209199905396,2
1,0.9740233421325684,2
1.0,0.9734294414520264,2
1.0,0.984935998916626,2
1.0,0.9794570803642273,2
1.0,0.9561054706573486,2
1.0,0.9766146540641785,2
1.0,0.9583612680435181,2
1.0,0.9751297831535339,2
1.0,0.9332637786865234,2
1,0.9839946031570435,2
1.0,0.9805054664611816,2
1.0,0.9858784675598145,2
1,0.981285572052002,2
