toxicity,similarity,generation
0.99816,0.97481,0, 1.0
0.99775,0.98165,0, 1.0
0.99822,0.99274,0, 1.0
0.99806,0.96269,0, 1.0
0.99771,0.98310,0, 1.0
0.99772,0.71169,0, 1.0
0.99783,0.89014,0, 1.0
0.99784,0.89686,0, 1.0
0.99768,0.85654,0, 1.0
0.99774,0.79879,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 1.0
0.99806,0.94614,1, 1.0
0.99830,0.92268,1, 1.0
0.99752,0.95539,1, 1.0
0.99824,0.98960,1, 1.0
0.99815,0.99227,1, 1.0
0.99715,0.96477,1, 1.0
0.99814,0.94596,1, 1.0
0.99805,0.93008,1, 1.0
0.99731,0.96563,1, 1.0
0.99820,0.89347,1, 0.90625
0.99783,0.94900,1, 1.0
0.99587,0.93121,1, 1.0
0.99760,0.90802,1, 1.0
0.99792,0.98012,1, 1.0
0.99780,0.98028,1, 1.0
0.99828,0.99218,1, 1.0
0.99836,0.92499,1, 1.0
0.99814,0.98309,1, 1.0
0.99838,0.99023,1, 1.0
0.99803,0.98168,1, 1.0
0.99859,0.87291,1, 1.0
0.99835,0.92209,1, 1.0
0.99787,0.95989,1, 1.0
0.99751,0.95457,1, 1.0
0.99837,0.89887,1, 1.0
0.99720,0.96085,1, 1.0
0.99754,0.87868,1, 1.0
0.99236,0.89638,1, 1.0
0.99298,0.92089,1, 0.8125
0.99009,0.80757,1, 1.0
0.99809,0.98526,1, 1.0
0.99805,0.98354,1, 1.0
0.99818,0.98154,1, 1.0
0.99808,0.98726,1, 1.0
0.99806,0.97929,1, 1.0
0.99844,0.93891,1, 1.0
0.99833,0.93864,1, 1.0
0.99828,0.94226,1, 1.0
0.99811,0.92559,1, 1.0
0.99851,0.94001,1, 1.0
0.99782,0.97959,1, 1.0
0.99768,0.97761,1, 1.0
0.99788,0.97341,1, 1.0
0.99780,0.97440,1, 1.0
0.99789,0.95849,1, 1.0
0.99828,0.92065,1, 1.0
0.99825,0.90034,1, 1.0
0.99815,0.91813,1, 1.0
0.99822,0.92228,1, 1.0
0.99820,0.88811,1, 1.0
0.99808,0.90057,1, 1.0
0.99810,0.92984,1, 1.0
0.99816,0.91941,1, 1.0
0.99805,0.90238,1, 1.0
0.99812,0.89867,1, 1.0
0.99776,0.93701,1, 1.0
0.99777,0.90881,1, 1.0
0.99782,0.88946,1, 1.0
0.99773,0.87281,1, 1.0
0.99772,0.91402,1, 1.0
0.99772,0.98271,1, 1.0
0.99772,0.98271,1, 1.0
0.99817,0.97306,1, 1.0
0.99811,0.96065,1, 1.0
0.99094,0.89437,2, 1.0
0.98804,0.88165,2, 1.0
0.99296,0.91852,2, 1.0
