toxicity,similarity,generation
0.99803,0.95743,0, 1.0000
0.99814,0.95878,0, 1.0000
0.99823,0.86097,0, 1.0000
0.99824,0.86648,0, 1.0000
0.99828,0.96251,0, 1.0000
0.99828,0.91657,0, 1.0000
0.99833,0.82868,0, 1.0000
0.99830,0.90624,0, 1.0000
0.99825,0.83861,0, 1.0000
0.99833,0.89240,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99808,0.97941,1, 1.0000
0.99813,0.98560,1, 1.0000
0.99824,0.92719,1, 1.0000
0.99821,0.93345,1, 1.0000
0.99804,0.88653,1, 1.0000
0.99794,0.95151,1, 1.0000
0.99714,0.91340,1, 1.0000
0.99795,0.88101,1, 1.0000
0.99778,0.89487,1, 1.0000
0.99820,0.94127,1, 1.0000
0.99795,0.95221,1, 1.0000
0.99780,0.93043,1, 1.0000
0.99767,0.93030,1, 1.0000
0.99786,0.89071,1, 1.0000
0.99803,0.92810,1, 1.0000
0.99708,0.76452,1, 1.0000
0.99801,0.83079,1, 1.0000
0.99822,0.84116,1, 1.0000
0.99816,0.81914,1, 1.0000
0.99799,0.87697,1, 1.0000
0.99799,0.71621,1, 1.0000
0.99835,0.85800,1, 1.0000
0.99827,0.87269,1, 1.0000
0.99830,0.89545,1, 1.0000
0.99798,0.83743,1, 1.0000
0.99811,0.91871,1, 1.0000
0.99822,0.81609,1, 1.0000
0.99806,0.93650,1, 1.0000
0.99827,0.76485,1, 1.0000
0.99811,0.89592,1, 1.0000
0.99818,0.91580,1, 1.0000
0.99830,0.85502,1, 1.0000
0.99729,0.85458,1, 1.0000
0.99723,0.86018,1, 1.0000
0.99820,0.87493,1, 1.0000
0.99826,0.81194,1, 1.0000
0.99838,0.81275,1, 1.0000
0.99741,0.77578,1, 1.0000
0.99820,0.81584,1, 1.0000
0.99820,0.81494,1, 1.0000
0.99786,0.71599,1, 1.0000
0.99829,0.87123,1, 1.0000
0.99826,0.80817,1, 1.0000
0.99811,0.85306,1, 1.0000
0.99845,0.67776,1, 1.0000
0.99798,0.81008,1, 1.0000
0.99824,0.83079,1, 1.0000
0.99821,0.83076,1, 1.0000
0.99799,0.78114,1, 1.0000
0.99825,0.82432,1, 1.0000
0.99831,0.96541,1, 1.0000
0.99831,0.95370,1, 1.0000
0.99832,0.96523,1, 1.0000
0.99823,0.95638,1, 1.0000
0.99838,0.95006,1, 1.0000
0.99826,0.91603,1, 1.0000
0.99808,0.89759,1, 1.0000
0.99839,0.92390,1, 1.0000
0.99830,0.90076,1, 1.0000
0.99837,0.92514,1, 1.0000
0.99819,0.94605,1, 1.0000
0.99818,0.93493,1, 1.0000
0.99826,0.95282,1, 1.0000
0.99813,0.95118,1, 1.0000
0.99818,0.94689,1, 1.0000
0.99814,0.61841,1, 1.0000
0.99824,0.81842,1, 1.0000
0.99822,0.80004,1, 1.0000
0.99813,0.73729,1, 1.0000
0.99814,0.74189,1, 1.0000
0.99835,0.83788,1, 1.0000
0.99856,0.87467,1, 1.0000
0.99853,0.85898,1, 1.0000
0.99840,0.85086,1, 1.0000
0.99859,0.89621,1, 1.0000
0.99829,0.71781,1, 1.0000
0.99830,0.86797,1, 1.0000
0.99830,0.89512,1, 1.0000
0.99824,0.88899,1, 1.0000
0.99827,0.78911,1, 1.0000
0.99832,0.88322,1, 1.0000
0.99826,0.88734,1, 1.0000
0.99830,0.82705,1, 1.0000
0.99823,0.85979,1, 1.0000
0.99828,0.87731,1, 1.0000
0.99836,0.82683,1, 1.0000
0.99841,0.81886,1, 1.0000
0.99835,0.82013,1, 1.0000
0.99858,0.81546,1, 1.0000
0.99853,0.82360,1, 1.0000
0.99824,0.67579,1, 1.0000
0.99831,0.82822,1, 1.0000
0.99826,0.86614,1, 1.0000
0.99820,0.81749,1, 1.0000
0.99831,0.80662,1, 1.0000
0.99832,0.77778,1, 1.0000
0.99850,0.75198,1, 1.0000
0.99846,0.77779,1, 1.0000
0.99826,0.76980,1, 1.0000
0.99821,0.80589,1, 1.0000
0.99829,0.85028,1, 1.0000
0.99827,0.98755,1, 1.0000
0.99822,0.98427,1, 1.0000
0.99826,0.87137,1, 1.0000
0.99828,0.84377,1, 1.0000
0.99827,0.97774,1, 1.0000
0.99810,0.82168,1, 1.0000
0.99832,0.73647,1, 1.0000
0.99821,0.87625,1, 1.0000
0.99834,0.96924,1, 1.0000
0.99799,0.97402,1, 1.0000
0.99822,0.87334,1, 1.0000
0.99829,0.90221,1, 1.0000
0.99826,0.90285,1, 1.0000
0.99816,0.88776,1, 1.0000
0.99823,0.94684,1, 1.0000
0.99824,0.87096,1, 1.0000
0.99823,0.95106,1, 1.0000
0.99822,0.96212,1, 1.0000
0.99831,0.80393,1, 1.0000
0.99817,0.83678,1, 1.0000
0.99819,0.88183,1, 1.0000
0.99820,0.91862,1, 1.0000
0.99830,0.96621,1, 1.0000
0.99827,0.94303,1, 1.0000
0.99827,0.86250,1, 1.0000
0.99836,0.94035,1, 1.0000
0.99822,0.97600,1, 1.0000
0.99827,0.96097,1, 1.0000
0.99830,0.81017,1, 1.0000
0.99827,0.93137,2, 1.0000
0.99795,0.95673,2, 1.0000
0.99826,0.98315,2, 1.0000
0.99799,0.97308,2, 1.0000
0.99825,0.98318,2, 1.0000
0.99791,0.91508,2, 1.0000
0.99775,0.92371,2, 1.0000
0.99741,0.90144,2, 1.0000
0.99764,0.86101,2, 1.0000
0.99796,0.94280,2, 1.0000
