toxicity,similarity,generation
0.99817,0.94700,0, 1.0000
0.99821,0.94915,0, 1.0000
0.99821,0.97002,0, 1.0000
0.99813,0.96646,0, 1.0000
0.99823,0.97795,0, 1.0000
0.99825,0.71093,0, 1.0000
0.99851,0.81127,0, 1.0000
0.99846,0.87311,0, 1.0000
0.99825,0.82375,0, 1.0000
0.99850,0.79668,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99827,1.00000,0, 1.0000
0.99665,0.89844,1, 1.0000
0.99819,0.93904,1, 1.0000
0.99831,0.96441,1, 1.0000
0.99827,0.95338,1, 1.0000
0.99814,0.92932,1, 1.0000
0.99796,0.90581,1, 1.0000
0.99717,0.90780,1, 1.0000
0.99816,0.93145,1, 1.0000
0.99833,0.92237,1, 1.0000
0.99813,0.91213,1, 1.0000
0.99814,0.94523,1, 1.0000
0.99819,0.90010,1, 1.0000
0.99773,0.93511,1, 1.0000
0.99817,0.94637,1, 1.0000
0.99817,0.94792,1, 1.0000
0.99821,0.95896,1, 1.0000
0.99707,0.89126,1, 1.0000
0.99813,0.96295,1, 1.0000
0.99733,0.91895,1, 1.0000
0.99809,0.96820,1, 1.0000
0.99802,0.94720,1, 1.0000
0.99787,0.95290,1, 1.0000
0.99653,0.90006,1, 1.0000
0.99785,0.89886,1, 1.0000
0.99809,0.94920,1, 1.0000
0.99805,0.90970,1, 1.0000
0.99822,0.97806,1, 1.0000
0.99817,0.91095,1, 1.0000
0.99819,0.92901,1, 1.0000
0.99824,0.97122,1, 1.0000
0.99829,0.65695,1, 1.0000
0.99766,0.59191,1, 1.0000
0.99767,0.71423,1, 1.0000
0.99758,0.70837,1, 1.0000
0.99800,0.67041,1, 1.0000
0.99820,0.80763,1, 1.0000
0.99856,0.73706,1, 1.0000
0.99782,0.71111,1, 1.0000
0.99869,0.78046,1, 1.0000
0.99827,0.76285,1, 1.0000
0.99838,0.84696,1, 1.0000
0.99851,0.89275,1, 1.0000
0.99807,0.90041,1, 1.0000
0.99816,0.90146,1, 1.0000
0.99804,0.80983,1, 1.0000
0.99798,0.83311,1, 1.0000
0.99706,0.74765,1, 1.0000
0.99823,0.79845,1, 1.0000
0.99834,0.78782,1, 1.0000
0.99805,0.86684,1, 1.0000
0.99826,0.98115,1, 1.0000
0.99829,0.93332,1, 1.0000
0.99779,0.95704,1, 1.0000
0.99748,0.95866,1, 1.0000
0.99733,0.92483,1, 1.0000
0.99782,0.72605,1, 1.0000
0.99799,0.86872,1, 1.0000
0.99808,0.89412,1, 1.0000
0.99791,0.89685,1, 1.0000
0.99796,0.83919,1, 1.0000
0.99844,0.91343,1, 1.0000
0.99847,0.90321,1, 1.0000
0.99848,0.91012,1, 1.0000
0.99821,0.87027,1, 1.0000
0.99837,0.89769,1, 1.0000
0.99827,0.88960,1, 1.0000
0.99851,0.86448,1, 1.0000
0.99845,0.88145,1, 1.0000
0.99833,0.91504,1, 1.0000
0.99852,0.84618,1, 1.0000
0.99811,0.94304,1, 1.0000
0.99812,0.87537,1, 1.0000
0.99760,0.92726,1, 1.0000
0.99808,0.92807,1, 1.0000
0.99788,0.89296,1, 1.0000
0.99829,0.94356,1, 1.0000
0.99826,0.91492,1, 1.0000
0.99770,0.84930,1, 1.0000
0.99717,0.88183,1, 1.0000
0.99698,0.88567,1, 1.0000
0.99827,0.70533,1, 1.0000
0.99823,0.66696,1, 1.0000
0.99828,0.60919,1, 1.0000
0.99826,0.65817,1, 1.0000
0.99822,0.63537,1, 1.0000
0.99851,0.80897,1, 1.0000
0.99849,0.81187,1, 1.0000
0.99849,0.74875,1, 1.0000
0.99850,0.78150,1, 1.0000
0.99850,0.78306,1, 1.0000
0.99846,0.81811,1, 1.0000
0.99828,0.83384,1, 1.0000
0.99848,0.83625,1, 1.0000
0.99848,0.84549,1, 1.0000
0.99853,0.81879,1, 1.0000
0.99836,0.77823,1, 1.0000
0.99852,0.79256,1, 1.0000
0.99846,0.77259,1, 1.0000
0.99817,0.81438,1, 1.0000
0.99862,0.80103,1, 1.0000
0.99831,0.96833,1, 1.0000
0.99842,0.90926,1, 1.0000
0.99815,0.84416,1, 1.0000
0.99816,0.92057,1, 1.0000
0.99832,0.94269,1, 1.0000
0.99818,0.97397,1, 1.0000
0.99814,0.92207,1, 1.0000
0.99813,0.88578,1, 1.0000
0.99827,0.88168,1, 1.0000
0.99824,0.91986,1, 1.0000
0.99848,0.92881,1, 1.0000
0.99818,0.80698,1, 1.0000
0.99824,0.98525,1, 1.0000
0.99819,0.96504,1, 1.0000
0.99822,0.97346,1, 1.0000
0.99849,0.96928,1, 1.0000
0.99851,0.97906,1, 1.0000
0.99820,0.90749,1, 1.0000
0.99836,0.92500,1, 1.0000
0.99832,0.81814,1, 1.0000
0.99834,0.94028,1, 1.0000
0.99826,0.97419,1, 1.0000
0.99800,0.73754,1, 1.0000
0.99837,0.97457,1, 1.0000
0.99811,0.93270,1, 1.0000
0.99828,0.92573,1, 1.0000
0.99826,0.84536,1, 1.0000
0.99820,0.73619,1, 1.0000
0.99829,0.99903,1, 1.0000
0.99827,0.85716,1, 1.0000
0.99807,0.95966,2, 1.0000
0.99820,0.95670,2, 1.0000
0.99787,0.86242,2, 1.0000
0.99812,0.94501,2, 1.0000
0.99794,0.87409,2, 1.0000
0.99824,0.91640,2, 1.0000
0.99804,0.89950,2, 1.0000
0.99798,0.89735,2, 1.0000
0.99813,0.87910,2, 1.0000
0.99790,0.80944,2, 1.0000
0.99803,0.92452,2, 1.0000
0.99810,0.88812,2, 1.0000
0.99821,0.88356,2, 1.0000
0.99819,0.93509,2, 1.0000
0.99858,0.92542,2, 1.0000
0.99804,0.92921,2, 1.0000
0.99775,0.92958,2, 1.0000
0.99825,0.96162,2, 1.0000
0.99813,0.88790,2, 1.0000
0.99790,0.91346,2, 1.0000
0.99799,0.94486,2, 1.0000
0.99798,0.96042,2, 1.0000
0.99793,0.91145,2, 1.0000
0.99769,0.87003,2, 1.0000
0.99748,0.94053,2, 1.0000
0.99813,0.95387,2, 1.0000
0.99819,0.94213,2, 1.0000
0.99812,0.86619,2, 1.0000
0.99804,0.89302,2, 1.0000
0.99813,0.95689,2, 1.0000
0.99800,0.70886,2, 1.0000
0.99813,0.69529,2, 1.0000
0.99725,0.67930,2, 1.0000
0.99804,0.67895,2, 1.0000
0.99785,0.68614,2, 1.0000
0.99854,0.77179,2, 1.0000
0.99808,0.79355,2, 1.0000
0.99876,0.80439,2, 1.0000
0.99826,0.75469,2, 1.0000
0.99861,0.73311,2, 1.0000
0.99866,0.85061,2, 1.0000
0.99813,0.81184,2, 1.0000
0.99833,0.83550,2, 1.0000
0.99861,0.85742,2, 1.0000
0.99820,0.87112,2, 1.0000
0.99829,0.87287,2, 1.0000
0.99796,0.84486,2, 1.0000
0.99831,0.82789,2, 1.0000
0.99811,0.80556,2, 1.0000
0.99643,0.73153,2, 1.0000
0.99825,0.71093,2, 1.0000
0.99851,0.81127,2, 1.0000
0.99846,0.87311,2, 1.0000
0.99825,0.82375,2, 1.0000
0.99850,0.79668,2, 1.0000
0.99811,0.93977,2, 1.0000
0.99803,0.93476,2, 1.0000
0.99811,0.94317,2, 1.0000
0.99815,0.94533,2, 1.0000
0.99817,0.92759,2, 1.0000
0.99822,0.92072,2, 1.0000
0.99826,0.82343,2, 1.0000
0.99756,0.90531,2, 1.0000
0.99818,0.84935,2, 1.0000
0.99795,0.84708,2, 1.0000
0.99824,0.87692,2, 1.0000
0.99848,0.90364,2, 1.0000
0.99847,0.83894,2, 1.0000
0.99835,0.88929,2, 1.0000
0.99853,0.82609,2, 1.0000
0.99814,0.94838,2, 1.0000
0.99814,0.91853,2, 1.0000
0.99760,0.95034,2, 1.0000
0.99810,0.95536,2, 1.0000
0.99789,0.90626,2, 1.0000
0.99826,0.97118,2, 1.0000
0.99827,0.96940,2, 1.0000
0.99824,0.97257,2, 1.0000
0.99824,0.97463,2, 1.0000
0.99825,0.95912,2, 1.0000
0.99835,0.67707,2, 1.0000
0.99828,0.67868,2, 1.0000
0.99727,0.55843,2, 1.0000
0.99782,0.57182,2, 1.0000
0.99773,0.66873,2, 1.0000
0.99866,0.74766,2, 1.0000
0.99855,0.76764,2, 1.0000
0.99863,0.72089,2, 1.0000
0.99849,0.76189,2, 1.0000
0.99862,0.74056,2, 1.0000
0.99843,0.86740,2, 1.0000
0.99823,0.87479,2, 1.0000
0.99847,0.87210,2, 1.0000
0.99845,0.87472,2, 1.0000
0.99848,0.87146,2, 1.0000
0.99826,0.81822,2, 1.0000
