toxicity,similarity,generation
0.99800,0.98909,0, 0.640625
0.99830,0.98254,0, 0.9921875
0.99820,0.99202,0, 0.30078125
0.99811,0.98427,0, 1.0
0.99808,0.98490,0, 0.4765625
0.99810,0.92684,0, 1.0
0.99756,0.96425,0, 0.28125
0.99680,0.95711,0, 0.6953125
0.99808,1.00000,0, 0.93359375
0.99808,1.00000,0, 0.50390625
0.99808,1.00000,0, 0.76953125
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.640625
0.99808,1.00000,0, 0.5234375
0.99808,1.00000,0, 0.53515625
0.99808,1.00000,0, 0.44140625
0.99808,1.00000,0, 1.0
0.99808,1.00000,0, 0.36328125
0.99808,1.00000,0, 0.73046875
0.99808,1.00000,0, 0.515625
0.99808,1.00000,0, 0.5703125
0.99808,1.00000,0, 0.515625
0.99808,1.00000,0, 0.3671875
0.99808,1.00000,0, 0.9921875
0.99821,0.98206,1, 1.0
0.99809,0.96143,1, 0.33203125
0.99819,0.95787,1, 1.0
0.99809,0.96682,1, 0.6015625
0.99561,0.91105,1, 0.97265625
0.99757,0.95958,1, 0.73046875
0.99767,0.94770,1, 0.2421875
0.99766,0.96043,1, 1.0
0.99817,0.93805,1, 0.64453125
0.99641,0.91608,1, 1.0
0.99752,0.98182,1, 0.40234375
0.99836,0.94853,1, 1.0
0.99704,0.96160,1, 0.43359375
0.99817,0.97192,1, 0.546875
0.99813,0.99064,1, 0.35546875
0.99821,0.96500,1, 0.64453125
0.99818,0.95458,1, 0.6875
0.99806,0.99409,1, 1.0
0.99807,0.97569,1, 0.7109375
0.99733,0.96999,1, 0.390625
0.99783,0.92380,1, 0.20703125
0.99823,0.98885,1, 0.234375
0.99733,0.96577,1, 0.84375
0.99628,0.91886,1, 0.515625
0.99770,0.89281,1, 1.0
0.99798,0.96308,1, 0.42578125
0.99807,0.97510,1, 0.4765625
0.99783,0.96398,1, 0.84375
0.99811,0.97655,1, 0.3828125
0.99790,0.99487,1, 1.0
0.99818,0.98477,1, 0.2421875
0.99799,0.87765,1, 1.0
0.99826,0.91343,1, 1.0
0.99823,0.87694,1, 1.0
0.99820,0.90654,1, 0.82421875
0.99820,0.89708,1, 0.66796875
0.99756,0.93501,1, 0.2734375
0.99753,0.94110,1, 0.55078125
0.99756,0.93201,1, 0.2890625
0.99749,0.91862,1, 0.37890625
0.99809,0.92980,1, 0.3828125
0.99819,0.92133,1, 0.67578125
0.99758,0.94486,1, 0.91015625
0.99686,0.88708,1, 1.0
0.99809,0.98660,1, 0.90234375
0.99811,0.98478,1, 0.45703125
0.99810,0.98088,1, 0.74609375
0.99811,0.98819,1, 1.0
0.99772,0.71169,1, 1.0
0.99783,0.89014,1, 0.2890625
0.99784,0.89686,1, 0.9921875
0.99768,0.85654,1, 1.0
0.99812,0.83928,1, 0.60546875
0.99815,0.77791,1, 1.0
0.99807,0.85466,1, 1.0
0.99815,0.84291,1, 1.0
0.99811,0.85834,1, 0.86328125
0.99815,0.90706,1, 1.0
0.99807,0.89559,1, 0.78515625
0.99807,0.87238,1, 1.0
0.99808,0.92221,1, 0.7578125
0.99814,0.86475,1, 0.765625
0.99808,0.92967,1, 0.71875
0.99815,0.86736,1, 0.765625
0.99820,0.99202,1, 0.30859375
0.99808,1.00000,1, 0.7421875
0.99808,1.00000,1, 0.7578125
0.99808,1.00000,1, 0.4921875
0.99810,0.99891,1, 0.5390625
0.99808,1.00000,1, 0.59765625
0.99808,1.00000,1, 0.58203125
0.99754,0.96465,1, 0.87109375
0.99808,1.00000,1, 0.8359375
0.99808,0.99924,1, 1.0
0.99820,0.97855,1, 0.3828125
0.99808,1.00000,1, 0.3515625
0.99808,1.00000,1, 0.28515625
0.99808,0.98594,1, 0.42578125
0.99820,0.99202,1, 0.7578125
0.99808,1.00000,1, 0.30859375
0.99753,0.94392,2, 0.9453125
0.99817,0.97214,2, 0.31640625
0.99800,0.85113,2, 0.40234375
