toxicity,similarity,generation
0.99818,0.96314,0, 62.0
0.99808,0.97899,0, 192.0
0.99792,0.96478,0, 192.0
0.99745,0.96474,0, 192.0
0.99827,0.98526,0, 192.0
0.99811,0.92808,0, 192.0
0.99805,0.91533,0, 137.0
0.99809,0.92974,0, 192.0
0.99809,0.93716,0, 192.0
0.99806,0.90513,0, 192.0
0.99808,1.00000,0, 81.0
0.99808,1.00000,0, 146.0
0.99808,1.00000,0, 192.0
0.99808,1.00000,0, 95.0
0.99808,1.00000,0, 192.0
0.99808,1.00000,0, 126.0
0.99808,1.00000,0, 101.0
0.99808,1.00000,0, 192.0
0.99829,0.95950,1, 83.0
0.99817,0.95934,1, 114.0
0.99812,0.95896,1, 141.0
0.99781,0.92043,1, 135.0
0.99782,0.95439,1, 192.0
0.99778,0.97158,1, 132.0
0.99795,0.98766,1, 192.0
0.99647,0.88218,1, 192.0
0.99782,0.98161,1, 81.0
0.99807,0.98624,1, 192.0
0.99761,0.87009,1, 143.0
0.99799,0.99216,1, 101.0
0.99802,0.98535,1, 40.0
0.99803,0.88731,1, 146.0
0.99805,0.96238,1, 192.0
0.99817,0.99547,1, 90.0
0.99823,0.97805,1, 192.0
0.99774,0.98590,1, 59.0
0.99813,0.97503,1, 192.0
0.99822,0.91875,1, 125.0
0.99802,0.98260,1, 192.0
0.99823,0.86791,1, 192.0
0.99541,0.91362,1, 94.0
0.99807,0.97926,1, 122.0
0.99783,0.96494,1, 192.0
0.99809,0.90518,1, 135.0
0.99795,0.89613,1, 95.0
0.99807,0.84506,1, 192.0
0.99798,0.90926,1, 89.0
0.99808,0.89906,1, 192.0
0.99788,0.98051,1, 46.0
0.99820,0.99303,1, 192.0
0.99802,0.98344,1, 192.0
0.99683,0.95310,1, 192.0
0.99808,0.88318,1, 46.0
0.99788,0.90894,1, 125.0
0.99799,0.95870,1, 188.0
0.99813,0.99156,1, 192.0
0.99741,0.98209,1, 101.0
0.99790,0.98305,1, 95.0
0.99819,0.94476,1, 150.0
0.99829,0.89319,1, 188.0
0.99767,0.92491,1, 114.0
0.99688,0.90305,1, 186.0
0.99656,0.85778,1, 74.0
0.99817,0.91782,1, 192.0
0.99814,0.91283,1, 192.0
0.99813,0.92035,1, 192.0
0.99813,0.93383,1, 192.0
0.99812,0.89565,1, 192.0
0.99808,0.92221,1, 112.0
0.99814,0.86475,1, 143.0
0.99808,0.92967,1, 192.0
0.99815,0.86736,1, 60.0
0.99808,0.91812,1, 192.0
0.99813,0.97707,1, 77.0
0.99821,0.92196,1, 192.0
0.99760,0.95310,1, 174.0
0.99686,0.94761,1, 192.0
0.99663,0.90561,1, 192.0
0.99770,0.70957,1, 192.0
0.99788,0.79226,1, 192.0
0.99784,0.86675,1, 192.0
0.99777,0.80273,1, 138.0
0.99776,0.76734,1, 192.0
0.99804,0.89594,1, 71.0
0.99807,0.89708,1, 120.0
0.99801,0.90516,1, 192.0
0.99800,0.90038,1, 135.0
0.99796,0.92125,1, 192.0
0.99806,0.95175,1, 192.0
0.99792,0.90599,1, 192.0
0.99755,0.92539,1, 66.0
0.99681,0.93028,1, 192.0
0.99655,0.89335,1, 192.0
0.99808,0.98490,1, 192.0
0.99810,0.92684,1, 192.0
0.99756,0.96425,1, 155.0
0.99680,0.95711,1, 159.0
0.99659,0.91480,1, 117.0
0.99810,0.91738,1, 192.0
0.99808,1.00000,1, 179.0
0.99808,1.00000,1, 110.0
0.99808,1.00000,1, 192.0
0.99808,1.00000,1, 192.0
0.99808,1.00000,1, 68.0
0.99808,1.00000,1, 192.0
0.99810,0.91738,1, 192.0
0.99592,0.90584,2, 124.0
0.99351,0.91219,2, 32.0
0.99794,0.95308,2, 192.0
0.99808,0.97717,2, 84.0
0.99821,0.95715,2, 192.0
0.99782,0.97142,2, 192.0
0.99791,0.96958,2, 185.0
0.99786,0.97406,2, 94.0
0.99791,0.96557,2, 192.0
0.99776,0.97446,2, 128.0
0.99810,0.83482,2, 122.0
0.99727,0.85482,2, 84.0
0.99717,0.84969,2, 192.0
0.99818,0.84504,2, 103.0
0.99687,0.81360,2, 192.0
0.99790,0.98412,2, 66.0
0.99765,0.90501,2, 190.0
0.99747,0.96987,2, 192.0
0.99823,0.90155,2, 165.0
0.99738,0.92660,2, 192.0
0.99735,0.85897,2, 192.0
0.99815,0.83831,2, 170.0
0.99855,0.85471,2, 116.0
0.99803,0.83344,2, 122.0
0.99796,0.85344,2, 190.0
0.99802,0.93357,2, 74.0
0.99804,0.96270,2, 53.0
0.99773,0.94519,2, 110.0
0.99804,0.96769,2, 192.0
0.99813,0.97723,2, 192.0
0.99637,0.91431,2, 150.0
0.99744,0.93750,2, 192.0
0.99663,0.92744,2, 186.0
0.99769,0.84655,2, 97.0
0.99673,0.89083,2, 168.0
0.99750,0.96057,2, 192.0
0.99787,0.98716,2, 190.0
0.99763,0.94840,2, 192.0
0.99826,0.98688,2, 174.0
0.99812,0.96787,2, 192.0
0.99802,0.89293,2, 86.0
0.99810,0.83421,2, 56.0
0.99810,0.83065,2, 107.0
0.99802,0.86590,2, 192.0
0.99812,0.87394,2, 141.0
0.99786,0.93479,2, 192.0
0.99791,0.93665,2, 192.0
0.99796,0.93884,2, 188.0
0.99770,0.92209,2, 95.0
0.99808,0.92845,2, 150.0
0.99802,0.85429,2, 148.0
0.99799,0.84775,2, 174.0
0.99811,0.84225,2, 192.0
0.99800,0.84956,2, 192.0
0.99807,0.82013,2, 192.0
0.99774,0.91506,2, 144.0
0.99782,0.93773,2, 84.0
0.99780,0.87204,2, 107.0
0.99776,0.89904,2, 192.0
0.99784,0.86422,2, 192.0
0.99840,0.87071,2, 192.0
0.99835,0.83166,2, 192.0
0.99845,0.84069,2, 180.0
0.99821,0.83029,2, 106.0
0.99836,0.83357,2, 192.0
0.99822,0.94327,2, 159.0
0.99823,0.94302,2, 150.0
0.99834,0.92535,2, 133.0
0.99820,0.93966,2, 165.0
0.99830,0.93940,2, 190.0
0.99759,0.91104,2, 122.0
0.99758,0.91032,2, 146.0
0.99760,0.90080,2, 192.0
0.99764,0.91104,2, 192.0
0.99766,0.91463,2, 192.0
0.99814,0.98607,2, 192.0
0.99814,0.99112,2, 173.0
0.99815,0.98524,2, 192.0
0.99814,0.98843,2, 192.0
0.99810,0.97076,2, 150.0
0.99818,0.96314,2, 72.0
0.99760,0.93969,2, 153.0
0.99808,1.00000,2, 128.0
0.99814,0.87110,2, 153.0
0.99808,1.00000,2, 192.0
0.99806,0.94987,2, 192.0
0.99808,1.00000,2, 192.0
0.99823,0.90573,2, 192.0
0.99366,0.90133,3, 168.0
0.99415,0.91329,3, 86.0
0.99347,0.91780,3, 163.0
0.99232,0.90367,3, 65.0
0.99255,0.90759,3, 66.0
